형태,유통사,매장명,브랜드,23SS,23FW,24SS,24FW,25SS,매장 면적
아울렛,롯데,롯데아울렛이천(직),디스커버리,1138123100,2204452900,1120513100,2112217000,921561400,64.9
아울렛,롯데,롯데아울렛이천(직),노스페이스,1625636466,3834654420,2313493990,5208909090,2209125850,
아울렛,롯데,롯데아울렛이천(직),코오롱스포츠,779451030,1246085580,905897090,1118809010,720512620,
아울렛,롯데,롯데아울렛이천(직),K2,768772390,1366530580,762335510,1350642100,663738840,
아울렛,롯데,롯데아울렛이천(직),컬럼비아,803615690,908373380,655331380,1057516830,563966760,
아울렛,롯데,롯데아울렛이천(직),내셔널지오그래픽,1140423400,2673116220,1342452040,2539874600,1064870620,
아울렛,롯데,롯데아울렛이천(직),블랙야크,1011843240,1845800340,976632490,1796298700,1005136400,
아울렛,롯데,롯데아울렛이천(직),파타고니아,1167451400,1200826720,979517090,1059569890,813358730,
아울렛,롯데,롯데아울렛이천(직),아이더,703149420,1279373100,741554980,1412534960,584901820,
아울렛,롯데,롯데아울렛이천(직),몽벨,0,0,0,0,0,
아울렛,롯데,롯데아울렛이천(직),네파,678467730,1117350510,551685520,920544380,391097900,
아울렛,롯데,롯데아울렛이천(직),살로몬,0,0,0,0,0,
아울렛,롯데,롯데아울렛이천(직),머렐,0,0,0,0,0,
아울렛,롯데,롯데아울렛이천(직),노르디스크,0,0,0,624620800,521639550,
아울렛,롯데,롯데아울렛이천(직),밀레,0,0,0,0,0,
아울렛,롯데,롯데아울렛이천(직),아크테릭스,464271750,711451850,594906450,668660500,616644800,
아울렛,롯데,롯데아울렛이천(직),스노우피크,656201880,1056764900,746312400,1067371000,703578500,
아울렛,롯데,롯데아울렛이천(직),코닥,209936480,702013250,603495070,771677480,690413880,
아울렛,롯데,롯데아울렛동부산(직),디스커버리,1427834300,2820382610,1554189700,2731051700,1231554900,56.2
아울렛,롯데,롯데아울렛동부산(직),노스페이스,1566604770,3910933120,2524450330,5274021730,2477949780,
아울렛,롯데,롯데아울렛동부산(직),코오롱스포츠,2196498340,3128500760,2502617610,2716389270,1532825120,
아울렛,롯데,롯데아울렛동부산(직),K2,1053702320,1788101050,1122943210,2142515360,1083533100,
아울렛,롯데,롯데아울렛동부산(직),컬럼비아,1289897130,1571110820,857048530,1025264780,844973940,
아울렛,롯데,롯데아울렛동부산(직),내셔널지오그래픽,1690035000,2886229700,1655906060,2726798200,985217500,
아울렛,롯데,롯데아울렛동부산(직),블랙야크,1446228700,2298387300,1335383400,2236255800,1059007700,
아울렛,롯데,롯데아울렛동부산(직),파타고니아,1183699480,1294788440,1048600700,1439284230,1077133560,
아울렛,롯데,롯데아울렛동부산(직),아이더,832650880,1381572880,824786780,1340732620,646196520,
아울렛,롯데,롯데아울렛동부산(직),몽벨,0,0,174095380,368343970,170495110,
아울렛,롯데,롯데아울렛동부산(직),네파,862289220,1669155680,1001617510,1278684170,797590720,
아울렛,롯데,롯데아울렛동부산(직),살로몬,0,0,0,1326293700,906156900,
아울렛,롯데,롯데아울렛동부산(직),머렐,0,0,0,0,0,
아울렛,롯데,롯데아울렛동부산(직),노르디스크,0,0,0,952070500,714172600,
아울렛,롯데,롯데아울렛동부산(직),밀레,0,0,0,0,0,
아울렛,롯데,롯데아울렛동부산(직),아크테릭스,981772150,1478665520,1298865700,1594279500,1352287900,
아울렛,롯데,롯데아울렛동부산(직),스노우피크,1721895520,2372094800,1853084900,2643613750,1524576400,
아울렛,롯데,롯데아울렛동부산(직),코닥,0,0,0,1066710100,957734340,
아울렛,롯데,롯데아울렛김해(직),디스커버리,1970474100,4058566020,2169496600,4046381640,1813423400,62.2
아울렛,롯데,롯데아울렛김해(직),노스페이스,1575377990,3271827030,2175949080,4713324370,2252574930,
아울렛,롯데,롯데아울렛김해(직),코오롱스포츠,1874202880,2684795000,2112133220,2710686860,1855154150,
아울렛,롯데,롯데아울렛김해(직),K2,1305648390,2083098650,1343020300,2479070790,1594624180,
아울렛,롯데,롯데아울렛김해(직),컬럼비아,1214706000,1775192150,940071280,1568874750,840826120,
아울렛,롯데,롯데아울렛김해(직),내셔널지오그래픽,2239169500,4527583980,2269635450,4477076220,1956101480,
아울렛,롯데,롯데아울렛김해(직),블랙야크,1504092350,2369878700,1432084030,2181477000,1231201700,
아울렛,롯데,롯데아울렛김해(직),파타고니아,956833380,1057138410,776034570,1163355940,898182420,
아울렛,롯데,롯데아울렛김해(직),아이더,1200580780,2009054440,1208827040,1975538200,947433130,
아울렛,롯데,롯데아울렛김해(직),몽벨,0,0,0,0,43000000,
아울렛,롯데,롯데아울렛김해(직),네파,1244983720,1896528530,1154877420,1924342370,994296360,
아울렛,롯데,롯데아울렛김해(직),살로몬,0,0,0,0,189465300,
아울렛,롯데,롯데아울렛김해(직),머렐,0,0,0,0,0,
아울렛,롯데,롯데아울렛김해(직),노르디스크,0,0,0,0,100118600,
아울렛,롯데,롯데아울렛김해(직),밀레,0,0,0,0,0,
아울렛,롯데,롯데아울렛김해(직),아크테릭스,0,0,1016034150,1486550500,1512467800,
아울렛,롯데,롯데아울렛김해(직),스노우피크,1949488260,3087841490,2303128230,3495086500,2383710600,
아울렛,롯데,롯데아울렛김해(직),코닥,604346440,650753030,684200000,747000000,978020010,
아울렛,롯데,롯데아울렛수완(직),디스커버리,1104658100,2166206600,1113386300,2008038000,948482700,25.4
아울렛,롯데,롯데아울렛수완(직),노스페이스,1175762510,1774352450,970830340,1989455710,920356100,
아울렛,롯데,롯데아울렛수완(직),코오롱스포츠,1015332010,1045489580,910249930,934985920,660460780,
아울렛,롯데,롯데아울렛수완(직),K2,840990250,1321537000,910347540,1247366300,836253540,
아울렛,롯데,롯데아울렛수완(직),컬럼비아,0,0,0,0,0,
